id;nom;prenom;email
1;même blablabla;cuicui hôte;Esther.Louis78@gmail.com
2;malade groin groin sage;jamais;Turold.Carpentier@hotmail.fr
3;délectable cadre;après aussitôt que;Jocelyn22@yahoo.fr
4;vlan;triste;Jehanne.Legrand@yahoo.fr
5;comment à seule fin de sans que;rédaction;Arsinoe1@yahoo.fr
6;sembler près;étant donné que athlète remplacer;Jacqueline68@gmail.com
7;extra environ;lâche secouriste;Isidore_Meyer@yahoo.fr
8;de sorte que trop pour que;trop peu;Roger.Dufour@hotmail.fr
9;rappeler;avant que;Andre_Schmitt41@yahoo.fr
10;corps enseignant quasi juriste;fonctionnaire;Maguelone31@gmail.com
